available_ingredients,recipe_name,recipe_ingredients,instructions,
"Rice, Yogurt, Milk, Cardamom, Sugar, Dry Fruits",Phirni,"Rice, Full Cream Milk, Sugar, Cardamom Powder, Almonds, Pistachios, Saffron","Soak rice for 2 hours, then grind into a coarse paste. Boil milk in a pan. Add rice paste, stirring continuously. Cook on low flame until it thickens. Add sugar, cardamom powder, and saffron. Cook further until desired consistency. Garnish with dry fruits and serve chilled.",
"Wheat Flour, Jaggery, Fennel Seeds, Ghee",Gur Roti,"Wheat Flour, Jaggery, Fennel Seeds, Ghee, Salt, Water","Dissolve jaggery in warm water. Mix wheat flour, fennel seeds, and a pinch of salt. Add the jaggery water to form a dough. Roll into thick rotis and cook on a tawa with ghee until both sides are golden brown. Serve with fresh butter.",
"Wheat Flour, Sugar, Ghee, Cardamom",Peda,"Khoya (Reduced Milk), Sugar, Cardamom Powder, Saffron, Pistachios","In a pan, cook khoya on low flame until it turns golden. Add sugar, cardamom powder, and saffron. Stir well until it thickens. Let it cool slightly. Shape into small round pedas and press with a pistachio on top. Allow to set and serve.",
"Milk, Lemon Juice, Sugar, Cardamom, Saffron",Cham Cham,"Milk, Lemon Juice, Sugar, Cardamom Powder, Saffron, Pistachios","Boil milk and add lemon juice to curdle it. Drain using a muslin cloth and rinse with cold water. Knead the chenna (paneer) until smooth. Shape into cylinders. Prepare sugar syrup in a wide pan. Boil the cylinders in syrup for 15 minutes. Allow to cool, garnish with cardamom and saffron, and serve.",
"Chickpeas, Flour, Curd, Spices",Ghugni Chaat,"Black Chickpeas, Onions, Tomatoes, Green Chilies, Tamarind Chutney, Curd, Sev, Chaat Masala","Soak and boil chickpeas until soft. In a pan, heat oil, add cumin, green chilies, onions, and tomatoes. Cook until tender. Add the chickpeas and chaat masala. Mix well. Serve with tamarind chutney, curd, and sev. Garnish with coriander leaves.",
"Fermented fish, potatoes, chili, salt",Eromba,"Fermented fish, potatoes, chili, salt","Boil the potatoes until they are soft and mash them thoroughly. In a separate pan, roast or boil the fermented fish until it is cooked. Crush the roasted fish and mix it well with the mashed potatoes. Add finely chopped chilies for spice. Adjust the salt as per taste. You can also add a little mustard oil for enhanced flavor. Serve the dish with steamed rice for an authentic experience.",
"Fish, potatoes, turmeric, chili, salt",Nga Atoiba Thongba,"Fish, potatoes, turmeric, chili, salt","Clean the fish and cut it into pieces. In a pot, add water, turmeric, and salt, and bring it to a boil. Add the fish and cook until tender. Remove the fish and set aside. Peel and boil the potatoes separately. Mash them slightly for a chunky texture. Add the fish back into the pot, followed by the boiled potatoes. Mix gently without breaking the fish pieces. Adjust seasoning with salt and add fresh chilies for spice. Simmer for a few minutes until the curry thickens. Serve hot with steamed rice.",
"Vegetables, mustard leaves, fermented soybeans, salt",Chamthong,"Vegetables, mustard leaves, fermented soybeans, salt","Wash and chop a variety of seasonal vegetables such as spinach, cabbage, and beans. In a large pot, add water and bring it to a boil. Add the vegetables and cook until they are tender. Separately, prepare a fermented soybean paste by mashing the soybeans and adding a little salt. Add the soybean paste to the boiling vegetables. Stir well to combine the flavors. Add mustard leaves towards the end for a distinct aroma. Adjust the salt as needed. Serve hot as a side dish with rice.",
"Green chili, fermented fish, salt",Morok Metpa,"Green chili, fermented fish, salt","Roast green chilies directly over a flame or in a dry pan until they are charred. Similarly, roast the fermented fish until aromatic. Using a mortar and pestle, crush the roasted chilies and fermented fish together to form a coarse paste. Add salt to taste. You can drizzle a few drops of mustard oil for an authentic touch. This spicy condiment is best served with steamed rice and simple vegetable curries.",
"Pork, bamboo shoots, chili, garlic, ginger, salt",Naga Pork with Bamboo Shoots,"Pork, bamboo shoots, chili, garlic, ginger, salt","Cut pork into bite-sized pieces. Boil it in a pot with water, adding salt. Add bamboo shoots and cook until tender. Prepare a paste with garlic, ginger, and chili. Add this paste to the pot and stir well. Simmer until the pork is fully cooked. Adjust salt if needed. Serve hot with rice.",
"Rice, black lentils, ginger, mustard oil, turmeric, chili",Chak-hao Kheer,"Black rice, milk, sugar, cardamom, bay leaf, nuts, raisins","Rinse the black rice and soak it for a few hours. Boil the rice in water until it softens. Add milk and stir continuously to prevent sticking. Add sugar, cardamom, and a bay leaf. Cook until the mixture thickens. Garnish with nuts and raisins. Serve chilled or warm.",
"Pumpkin, fermented fish, garlic, mustard leaves, salt",Ooti,"Pumpkin, fermented fish, garlic, mustard leaves, salt","Peel and chop the pumpkin. Boil the pumpkin pieces in water until soft. Separately, roast the fermented fish until aromatic. Add the fish to the pumpkin mixture. Cook for a few minutes, then add mustard leaves. Stir well and let it simmer until everything blends together. Season with salt. Serve with rice.",
"Colocasia leaves, fermented soybeans, garlic, ginger, chili",Singju,"Colocasia leaves, fermented soybeans, garlic, ginger, chili","Clean and chop the colocasia leaves. Boil them in water until tender. Drain and set aside. Mash the fermented soybeans and mix them with crushed garlic, ginger, and chili. Combine the paste with the boiled leaves. Add salt to taste. Serve as a side dish.",
"Fish, mustard oil, turmeric, fenugreek, salt, garlic",Ngari Thongba,"Fermented fish, garlic, turmeric, chili, mustard oil, fenugreek",Heat mustard oil in a pan. Add fenugreek seeds until they crackle. Add crushed garlic and sauté until golden. Add fermented fish and turmeric. Cook until fragrant. Add water and simmer until the fish is cooked through. Serve with rice.,
"Vegetables, rice, dried fish, garlic, ginger, chili",Kangsoi,"Seasonal vegetables, dried fish, garlic, ginger, chili","Chop the vegetables into bite-sized pieces. Boil water in a pot and add the vegetables. Cook until tender. Add dried fish and simmer for a few more minutes. Prepare a paste using garlic, ginger, and chili, then add it to the pot. Cook until the flavors combine. Season with salt and serve hot.",
"Rice, black lentils, ginger, mustard oil, turmeric, chili",Ametpa,"Boiled vegetables, fermented fish, ginger, mustard oil, salt","Boil assorted vegetables such as potatoes, pumpkin, or beans. Drain excess water and mash the vegetables. Roast the fermented fish until aromatic. Mix the fish with the mashed vegetables. Add ginger paste and drizzle with mustard oil. Adjust salt as per taste. Serve with rice.",
"Parotta, egg, oil, onion, tomato, green chili, ginger, garlic, curry leaves",Kothu Parotta,"Parotta, egg, onion, tomato, green chili, ginger, garlic, curry leaves, pepper, garam masala","Heat oil in a pan and sauté chopped onions, garlic, and ginger until golden. Add tomatoes and green chilies. Break parottas into small pieces. Crack eggs into the pan and scramble. Add the parotta pieces and stir well. Sprinkle garam masala, salt, and pepper. Mix until combined. Serve hot with raita.",
"Mutton, shallots, garlic, ginger, turmeric, red chili powder, coriander powder, pepper",Madurai Mutton Curry,"Mutton, shallots, garlic, ginger, turmeric, red chili powder, coriander powder, pepper, curry leaves","Marinate the mutton with turmeric, chili powder, and salt. Heat oil in a pot, add shallots, ginger, garlic, and sauté until fragrant. Add the marinated mutton and cook until brown. Pour water and simmer until tender. Season with pepper and coriander powder. Serve with rice or dosa.",
"Rice, milk, ghee, cardamom, cashew nuts, raisins, saffron",Jigarthanda,"Milk, almond gum (badam pisin), nannari syrup, ice cream, sugar","Soak almond gum in water overnight. Boil milk until it thickens. Add sugar and let it cool. In a glass, add nannari syrup, soaked almond gum, and cold milk. Top with a scoop of ice cream. Mix well and serve chilled.",
"Rice, toor dal, garlic, cumin, black pepper, curry leaves",Milagu Rasam,"Tamarind, garlic, cumin, black pepper, curry leaves, coriander leaves","Soak tamarind in water and extract the juice. Crush garlic, cumin, and pepper. Heat oil, add mustard seeds and curry leaves. Add the crushed mixture and sauté until fragrant. Pour in tamarind water. Boil and simmer for a few minutes. Garnish with coriander leaves and serve hot.",
"Rice, urad dal, pepper, cumin, coconut, curry leaves, ghee",Kandarappam,"Raw rice, urad dal, jaggery, grated coconut, cardamom, ghee, oil","Soak rice and urad dal for a few hours and grind into a smooth batter. Add jaggery, grated coconut, and cardamom powder. Heat oil in a deep pan. Pour small amounts of batter into the oil and fry until golden brown. Serve warm.",
"vGoat intestines, onion, garlic, ginger, turmeric, chili powder, pepper",Kudal Kuzhambu,"Goat intestines, onion, garlic, ginger, turmeric, tamarind, chili powder, pepper","Clean the goat intestines thoroughly and boil them with turmeric. Heat oil in a pan, add onions, garlic, and ginger. Add the cleaned intestines and fry well. Pour in tamarind extract and spices. Simmer until the gravy thickens. Serve with rice or idli.",
"Banana flower, lentils, coconut, red chilies, curry leaves",Vazhaipoo Vadai,"Banana flower, chana dal, red chilies, onions, curry leaves, fennel seeds","Clean and chop the banana flower finely. Soak chana dal and grind coarsely. Mix with chopped banana flower, onions, red chilies, curry leaves, and fennel seeds. Shape into vadas and deep fry until golden brown. Serve with chutney.",
"Country chicken, shallots, garlic, ginger, coconut, spices",Salem Chicken Curry,"Country chicken, shallots, garlic, ginger, turmeric, red chili powder, coriander powder, coconut","Clean and cut the chicken. Sauté shallots, garlic, and ginger in oil. Add the chicken pieces, turmeric, and spice powders. Cook on low heat. Blend coconut into a paste and add to the curry. Simmer until the chicken is tender. Serve hot.",
"Rice flour, palm jaggery, coconut",Panangkarupatti Pongal,"Raw rice, moong dal, palm jaggery, grated coconut, ghee","Cook rice and moong dal together. Melt palm jaggery in water, strain, and add to the cooked rice. Mix well. Stir in grated coconut and ghee for enhanced flavor.",
"Broken rice, moong dal, turmeric, pepper, ghee",Arisi Upma,"Broken rice, moong dal, mustard seeds, pepper, curry leaves","Dry roast broken rice and moong dal. In a pan, heat oil, add mustard seeds, pepper, and curry leaves. Add water and bring it to a boil. Stir in the roasted rice mixture. Cook until soft. Serve with coconut chutney.",
"Rice flour, coconut milk, jaggery, cardamom",Tirunelveli Halwa,"Wheat flour, ghee, sugar, cashews, cardamom powder",Soak wheat flour in water overnight and extract the milk. Cook sugar in ghee until caramelized. Add the extracted wheat milk and stir continuously. Add cardamom and roasted cashews. Cook until the halwa becomes glossy and thick.,
"Tamarind, black sesame seeds, red chilies, coconut",Ellu Podi Kuzhambu,"Tamarind extract, black sesame seeds, dried red chilies, curry leaves, mustard seeds, oil","Roast sesame seeds and red chilies. Grind into a powder. Heat oil, add mustard seeds and curry leaves. Pour tamarind extract and add the ground powder. Cook until thickened. Serve with rice.",
"Tapioca, grated coconut, mustard seeds, green chilies",Maravalli Kizhangu Puttu,"apioca, coconut, rice flour, green chilies, mustard seeds, curry leaves","Grate boiled tapioca. Mix with rice flour, coconut, and salt. Steam the mixture. Season with mustard seeds and green chilies. Serve with chutney.",
"Rice flour, urad dal flour, cumin seeds, sesame seeds",Thenkuzhal Murukku,"Rice flour, urad dal flour, butter, cumin seeds, sesame seeds, oil","Mix rice flour, urad dal flour, and butter. Add cumin seeds and sesame seeds. Knead into a dough. Shape into murukku using a press and deep fry until crispy. Serve as a snack.",
"Jackfruit, jaggery, rice flour, coconut",Chakka Varatti,"Ripe jackfruit, jaggery, ghee, rice flour, cardamom",Steam jackfruit and mash it. Cook jaggery in water until thick. Add mashed jackfruit and stir until the mixture thickens. Add ghee and cardamom powder. Serve as a dessert.,
"Rice, urad dal, coconut, curry leaves, mustard seeds",Kadamba Sadam,"Rice, mixed vegetables (beans, carrot, peas), toor dal, tamarind, sambar powder, mustard seeds","Wash and cook rice with turmeric. Cook toor dal until soft. Prepare tamarind extract. In a large pot, heat oil and temper mustard seeds, curry leaves, and dried chilies. Add chopped vegetables and sauté until soft. Pour tamarind extract and add sambar powder, salt, and cooked dal. Mix in the cooked rice and combine thoroughly. Simmer for 5 minutes and serve with appalam or curd.",
"Raw rice, coconut, jaggery, cardamom",Thengai Paal Payasam,"Raw rice, coconut milk, jaggery, cardamom powder",Wash and soak rice for 30 minutes. Cook the rice in water until soft. Extract thick coconut milk by blending grated coconut with warm water. Add jaggery to the cooked rice and stir well. Pour in the coconut milk and stir until combined. Simmer on low heat for 5-10 minutes. Add cardamom powder for flavor. Serve warm as a dessert.,
"Rice, urad dal, fenugreek seeds, salt",Kallappam,"Raw rice, urad dal, fenugreek seeds, coconut milk, yeast","Soak rice, urad dal, and fenugreek seeds for 4-5 hours. Grind into a smooth batter using water. Add coconut milk and a pinch of yeast. Allow to ferment for 8 hours. Heat a non-stick pan, pour a ladle of batter, and cook covered until holes form on the surface. Serve with coconut milk and jaggery.",
"Jackfruit, rice flour, jaggery, coconut",Chakka Pradhaman,"Jackfruit, rice flour, jaggery, coconut milk, ghee, cardamom powder","Steam jackfruit until soft and mash it. Prepare jaggery syrup by dissolving jaggery in water. Cook the jackfruit in the syrup until well combined. Add thick coconut milk and stir gently. Simmer on low flame, then add cardamom powder and ghee for flavor. Serve warm as a dessert.",
"Raw rice, coconut, jaggery, banana",Aval Kachayam,"Flattened rice (aval), jaggery, mashed banana, rice flour, cardamom powder, oil","Soak aval in water for a few minutes until soft. Mash a banana and mix it with jaggery syrup. Add the softened aval, rice flour, and cardamom powder to the mixture. Heat oil in a pan, drop spoonfuls of the batter, and deep-fry until golden brown. Serve as a snack.",
"Rice flour, coconut, jaggery",Kola Puttu,"Rice flour, grated coconut, jaggery, cardamom powder",Roast rice flour and steam it. Layer the steamed rice flour with grated coconut and jaggery. Steam it again for 10 minutes. Serve as a breakfast or evening snack.,
"Goat intestine, shallots, curry leaves, spices",Attukal Paya,"Goat leg, shallots, garlic, ginger, turmeric, chili powder, coriander powder, coconut milk, curry leaves","Clean the goat leg thoroughly and boil it until tender. In a pan, sauté shallots, garlic, and ginger. Add turmeric, chili powder, and coriander powder. Pour in the goat broth and coconut milk. Simmer until the flavors blend. Garnish with curry leaves and serve with hot idiyappam.",
"Wheat flour, paneer, onion, capsicum, spices",Paneer Kathi Roll,"Paneer, wheat flour, onions, capsicum, chili powder, garam masala, coriander, yogurt, oil","Prepare dough using wheat flour and water. Marinate paneer with yogurt and spices. Sauté onions and capsicum, then add paneer. Cook until golden. Roll out the dough, cook on a tawa, and stuff with the paneer mixture. Add chutney or sauce, roll it up, and serve.",
"Chicken breast, flour, egg, breadcrumbs, lettuce",Chicken Wrap,"Chicken breast, flour, egg, breadcrumbs, mayonnaise, lettuce, tomatoes, tortillas, oil","Coat chicken with flour, dip in beaten egg, and cover with breadcrumbs. Fry until crispy. Place it on a tortilla with lettuce, tomatoes, and mayonnaise. Wrap it tightly and serve.",
"oiled eggs, onion, green chilies, spices",Egg Roll,"Eggs, onions, green chilies, wheat flour, tomato sauce, chili sauce, oil","Beat eggs with salt and pepper. Cook paratha on a tawa, spread beaten egg on top, and flip. Add sautéed onions and green chilies. Spread sauces, roll it up, and serve hot.",
"Mushroom, cheese, black pepper, wheat flour",Cheesy Mushroom Roll,"Mushrooms, cheese, garlic, black pepper, wheat flour, butter, milk","Sauté mushrooms with garlic and butter. Add flour, milk, and grated cheese to make a creamy sauce. Spread the filling on a tortilla, roll it, and bake for a few minutes until crispy. Serve hot.",
"Carrot, cucumber, lettuce, bell peppers",Veggie Wrap,"Carrot, cucumber, lettuce, bell peppers, hummus, whole wheat tortillas","Spread hummus on a whole wheat tortilla. Add thinly sliced vegetables, sprinkle some salt and pepper, and wrap it tightly. Serve with yogurt dip.",
"Milk, sugar, cardamom, saffron, almonds",ras malai,"Milk, sugar, cardamom, saffron, almonds, lemon juice, rose water","Boil milk, add lemon juice to curdle it. Strain and shape the paneer into discs. Boil in sugar syrup. Simmer in saffron-infused milk with cardamom. Garnish with almonds and rose water. Chill and serve.",
"Semolina, ghee, sugar, cashews, raisins",Rava Kesari,"Semolina, sugar, ghee, cashews, raisins, saffron, cardamom","Roast semolina in ghee. Boil water, add saffron, then add to semolina. Stir in sugar and cardamom powder. Add fried cashews and raisins. Mix well until it thickens. Serve warm.",
"Cottage cheese, sugar, cardamom",Sandesh,"Paneer, sugar, cardamom, saffron",Knead paneer until smooth. Cook it with sugar on low heat. Shape it into small pieces. Garnish with cardamom and saffron. Chill and serve.,
"Cream cheese, sugar, biscuits",Cheesecake,"Cream cheese, sugar, eggs, biscuits, butter, vanilla essence","Crush biscuits and mix with melted butter to form the crust. Beat cream cheese, sugar, and eggs. Pour over the crust and bake at 160°C for 50 minutes. Chill and serve with fruit topping.",
"Flour, butter, eggs, sugar, honey",Baklava,"Phyllo dough, butter, sugar, honey, pistachios, walnuts",Layer phyllo dough sheets with butter and chopped nuts. Bake until golden. Pour a sugar-honey syrup over it and allow it to soak. Serve warm or chilled.,
"Chicken, garlic, butter",Garlic Butter Chicken,"Chicken breast, garlic, butter, olive oil, lemon, parsley, salt, pepper",Heat olive oil in a pan. Add garlic and sauté until fragrant. Add chicken breasts and cook until golden brown. Add butter and lemon juice. Simmer until chicken is cooked through. Garnish with parsley and serve.,
"Chicken, garlic, honey",Honey Garlic Chicken,"Chicken thighs, garlic, honey, soy sauce, ginger, olive oil, pepper, sesame seeds","Sear chicken thighs until golden. In a bowl, mix garlic, honey, soy sauce, and ginger. Pour sauce over the chicken and cook until it thickens. Garnish with sesame seeds and serve with rice.",
"Chicken, garlic, potatoes",Garlic Roast Chicken,"Whole chicken, garlic, rosemary, lemon, olive oil, potatoes, salt, pepper","Rub the chicken with olive oil, garlic, rosemary, and lemon juice. Place in a roasting pan with potatoes. Roast in the oven at 200°C for 90 minutes, basting occasionally. Let it rest before serving.",
"Chicken, garlic, curry leaves",Garlic Chicken Curry,"Chicken, garlic, onions, tomatoes, curry leaves, coconut milk, spices, coriander","Sauté onions and garlic. Add chicken and brown it. Stir in tomatoes, coconut milk, and spices. Simmer until the chicken is cooked. Garnish with coriander and serve with rice or naan.",
"Chicken, garlic, cheese",Garlic Chicken Parmesan,"Chicken breast, garlic, marinara sauce, Parmesan cheese, mozzarella, breadcrumbs, olive oil","Coat chicken with breadcrumbs and fry until golden. Place in a baking dish, top with marinara sauce, garlic, and cheeses. Bake at 180°C until cheese is melted and bubbly. Serve with pasta.",
"Onion, Tomato, Mustard, Oil, Curry Leaves",Tomato Onion Chutney,"Onions, tomatoes, mustard seeds, curry leaves, red chilies, tamarind, salt, oil","Heat oil in a pan. Add mustard seeds, let them splutter, and add curry leaves. Sauté onions until golden brown. Add chopped tomatoes and red chilies. Cook until soft. Add tamarind and salt. Blend into a smooth chutney. Serve with dosa or idli.",
"Onion, Tomato, Mustard, Oil, Curry Leaves",Tomato Rasam,"Tomatoes, onions, mustard seeds, curry leaves, tamarind, garlic, cumin, pepper, turmeric, salt","Boil tomatoes with tamarind. Mash and strain the pulp. Heat oil, add mustard seeds and curry leaves. Sauté onions and garlic. Add cumin, pepper, and turmeric. Pour in the tomato mixture. Simmer and serve hot with rice.",
"Onion, Tomato, Mustard, Oil, Curry Leaves",Vengaya Thokku (Onion Tomato Relish),"Onions, tomatoes, mustard seeds, curry leaves, garlic, red chili powder, turmeric, salt, oil","Heat oil in a pan. Add mustard seeds and curry leaves. Sauté garlic and onions till golden. Add chopped tomatoes, salt, turmeric, and chili powder. Cook until the oil separates. Serve with rice or chapati.",
"Egg, Butter, Bread, Cheese",Cheesy Egg Toast,"Eggs, butter, bread, cheese, salt, pepper","Heat butter on a pan. Beat eggs with salt and pepper. Dip bread in the egg mixture. Place it on the pan, top with cheese, and cook until golden. Flip to toast both sides and melt the cheese.",
"Egg, Butter, Milk, Flour, Sugar",Egg Pancakes,"Eggs, butter, milk, flour, sugar, baking powder, salt, vanilla extract","Mix eggs, milk, sugar, and vanilla extract. Add flour, baking powder, and salt. Cook the batter on a buttered skillet. Serve with syrup or fruits.",
"Egg, Butter, Rice, Soy Sauce, Spring Onion",Egg Fried Rice,"Eggs, butter, rice, soy sauce, spring onion, garlic, pepper","Cook the rice and allow it to cool completely. Leftover rice works well for this dish. Heat butter in a large wok or pan. Crack the eggs into the wok, season with salt, and scramble until cooked. Remove the eggs and set them aside. In the same pan, add a little more butter and sauté chopped garlic until fragrant. Add the cooled rice and toss well. Pour in the soy sauce and mix until the rice is coated. Return the scrambled eggs to the wok and stir to combine. Garnish with chopped spring onions and serve hot.",
"Egg, Butter, Potatoes, Onion, Chilli",Egg Potato Curry,"Eggs, butter, potatoes, onion, green chilli, turmeric, cumin seeds","Boil the eggs and potatoes until cooked. Peel and set aside. Heat butter in a pan and add cumin seeds, letting them sizzle. Add finely chopped onions and green chilies, sautéing until golden brown. Stir in turmeric powder and mix well. Add the boiled potatoes, breaking them into chunks. Gently add the boiled eggs and coat them in the spice mixture. Allow the curry to simmer for a few minutes, stirring occasionally. Garnish with fresh coriander leaves and serve with rice or roti.",
"Egg, Butter, Bread, Milk",French Toast,"Eggs, butter, bread, milk, sugar, cinnamon, vanilla extract","In a bowl, beat the eggs, milk, sugar, cinnamon, and vanilla extract until well combined. Heat a skillet over medium heat and melt a generous amount of butter. Dip each slice of bread into the egg mixture, ensuring both sides are soaked. Place the bread on the skillet and cook until golden brown on one side. Flip and cook the other side until crisp and golden. Serve with maple syrup, fresh fruit, or powdered sugar.",
"Egg, Butter, Flour, Sugar, Baking Powder",Eggless Butter Cake,"Butter, flour, sugar, milk, baking powder, vanilla extract","Preheat the oven to 350°F (180°C) and grease a baking pan. In a mixing bowl, cream the butter and sugar until light and fluffy. Gradually add the milk and vanilla extract, mixing well. Sift the flour and baking powder together. Gently fold the dry ingredients into the wet mixture until well combined. Pour the batter into the prepared baking pan. Bake for 30-35 minutes or until a toothpick inserted comes out clean. Allow it to cool before serving.",
"Egg, Butter, Garlic, Cream, Parmesan Cheese",Creamy Garlic Egg Pasta,"Eggs, butter, garlic, cream, parmesan cheese, pasta, salt, pepper","Cook the pasta in salted boiling water until al dente. In a large skillet, melt the butter and sauté minced garlic until fragrant. In a bowl, whisk together eggs, cream, grated parmesan, salt, and pepper. Drain the pasta and add it to the skillet. Remove from heat and quickly pour in the egg mixture. Toss until the sauce thickens and coats the pasta. Serve with fresh parsley and additional parmesan cheese.",
"Egg, Butter, Sugar, Coffee",Egg Coffee (Vietnamese Style),"Eggs, butter, sugar, hot coffee, condensed milk","Brew a strong cup of black coffee. Separate the egg yolk from the white. In a bowl, whisk the egg yolk with sugar until creamy and pale. Add butter and condensed milk, whisking until smooth. Pour the coffee into a glass and top it with the creamy egg mixture. Serve immediately, optionally stirring to mix the layers.",
"Onion, Tomato, Potato, Spices",Aloo Curry,"Potato, onion, tomato, mustard seeds, cumin, turmeric, chili powder, salt, oil","Peel and chop the potatoes into cubes. Heat oil in a pan and add mustard seeds and cumin. Once they splutter, add chopped onions and sauté until golden brown. Add chopped tomatoes and cook until they turn mushy. Stir in turmeric, chili powder, and salt. Add the potatoes and mix well. Pour water, cover, and cook until the potatoes are tender. Garnish with coriander leaves and serve hot with rice or roti.",
"Onion, Tomato, Potato, Green Peas",Aloo Matar,"Potato, onion, tomato, green peas, cumin, ginger, garlic, turmeric, garam masala, salt, oil","Heat oil in a pan and add cumin seeds. Add chopped onions and sauté until golden. Stir in ginger-garlic paste and cook until fragrant. Add chopped tomatoes and cook until soft. Add turmeric and garam masala. Add diced potatoes and green peas, mixing well. Pour in water and cook covered until the potatoes are soft. Serve with rice or chapati.",
"Onion, Tomato, Potato, Rice",Aloo Biryani,"Potato, onion, tomato, rice, mint, coriander, ginger, garlic, yogurt, whole spices (bay leaf, cinnamon, cloves), oil, salt","Soak rice for 30 minutes. In a pot, heat oil and sauté whole spices until aromatic. Add chopped onions and cook until golden. Add ginger-garlic paste and cook further. Stir in chopped tomatoes, potatoes, and yogurt. Cook until the potatoes are half done. Add water and bring it to a boil. Add soaked rice and cook until the rice is fluffy and the potatoes are tender. Garnish with coriander and serve hot.",
"Onion, Tomato, Potato, Besan (Gram Flour)",Aloo Pakora,"Potato, onion, tomato, gram flour, rice flour, cumin, turmeric, chili powder, salt, oil","Slice potatoes thinly. In a bowl, mix gram flour, rice flour, cumin, turmeric, chili powder, and salt. Gradually add water to make a thick batter. Heat oil in a deep pan. Dip each potato slice in the batter and deep fry until golden and crispy. Serve with tomato chutney or ketchup.",
"Onion, Tomato, Potato, Yogurt",Dum Aloo,"Baby potatoes, onion, tomato, yogurt, cashew paste, ginger, garlic, cardamom, turmeric, garam masala, salt, oil","Boil and peel baby potatoes. Heat oil in a pan and shallow fry the potatoes until golden. Remove and set aside. In the same pan, sauté chopped onions until golden. Add ginger-garlic paste and cook well. Stir in chopped tomatoes and cook until soft. Add turmeric, garam masala, and cashew paste. Mix well. Add the fried potatoes and coat them with the masala. Pour in yogurt, cover, and simmer until the flavors blend. Garnish with coriander and serve.",
"Wheat Flour, Egg, Salt, Oil, Water",Egg Paratha,"Wheat flour, egg, salt, oil, water, green chili, onion, coriander leaves","In a bowl, mix wheat flour, salt, and water to make a soft dough. Let it rest for 20 minutes. Divide the dough into balls and roll into thin circles. Heat a tawa (griddle). Crack an egg into a bowl, whisk it, and add chopped onion, green chili, and coriander. Place the rolled dough on the tawa, cook for a minute, then pour the egg mixture on top. Flip and cook both sides until golden. Serve with yogurt or pickle.",
"Wheat Flour, Egg, Ghee, Salt, Water",Egg Chapati Roll,"Wheat flour, egg, salt, ghee, onion, capsicum, ketchup, spices","Make a soft dough using wheat flour, salt, and water. Roll it into thin chapatis and cook on a tawa with ghee. In a separate pan, heat oil, add onions and capsicum, and sauté. Beat eggs, add salt and spices, and pour onto the pan to make an omelet. Place the omelet inside the chapati, roll it, and serve with ketchup.",
"Wheat Flour, Egg, Sugar, Oil",Egg Puff Pastry,"Wheat flour, egg, butter, sugar, salt, water","Prepare a rough puff pastry dough by mixing wheat flour, cold butter, and water. Chill and roll out the dough multiple times for layers. Beat an egg and brush the dough for a golden crust. Fill with a sweet or savory filling. Bake in a preheated oven at 180°C for 20-25 minutes until golden brown.",
"Wheat Flour, Egg, Butter, Sugar",Egg Cookies,"Wheat flour, egg, sugar, butter, vanilla extract, baking soda","In a bowl, cream butter and sugar together. Beat in the egg and add vanilla extract. Sift wheat flour and baking soda and mix into the batter. Form small cookie dough balls and place them on a baking tray. Bake at 180°C for 12-15 minutes until golden. Cool and serve.",
"Biscuits, Sugar, Milk",Biscuit Pudding,"Biscuits, sugar, milk, cocoa powder, vanilla essence, butter, nuts (optional)","Crush biscuits and layer them in a dish. In a pan, heat milk, sugar, cocoa powder, and vanilla essence until smooth. Pour the mixture over the biscuits, allowing them to soak. Chill in the refrigerator for 2 hours. Garnish with nuts if desired.",
"Biscuits, Sugar, Milk",Milk Biscuit Shake,"Biscuits, sugar, milk, vanilla ice cream (optional), chocolate syrup","Crush biscuits into a fine powder. In a blender, add milk, sugar, biscuits, and ice cream (if using). Blend until smooth. Pour into a glass and top with chocolate syrup. Serve chilled.",
"Biscuits, Sugar, Milk, Butter",Biscuit Cake,"Biscuits, sugar, milk, cocoa powder, butter, baking powder","Crush the biscuits into fine crumbs. Add sugar, milk, cocoa powder, and baking powder to form a cake batter. Grease a cake tin with butter. Pour the batter into the tin and steam or bake for 20-30 minutes at 180°C. Allow it to cool before serving.",
"Biscuits, Sugar, Milk, Ghee",Biscuit Halwa,"Biscuits, sugar, milk, ghee, cardamom powder, nuts (optional)","Crush the biscuits. Heat ghee in a pan, add crushed biscuits, and roast until golden. Add milk and sugar, stirring continuously until the mixture thickens. Add cardamom powder and garnish with nuts. Serve warm.",
"Biscuits, Sugar, Milk",Chocolate Biscuit Balls,"Biscuits, sugar, milk, cocoa powder, desiccated coconut",Crush biscuits and mix with cocoa powder and sugar. Add a little milk to bind the mixture. Form small balls and roll them in desiccated coconut. Refrigerate for an hour before serving.,
"Biscuits, Sugar, Milk, Instant Coffee",Coffee Biscuit Delight,"Biscuits, sugar, milk, instant coffee, whipped cream",Dissolve instant coffee in warm milk. Dip biscuits in the coffee mixture and layer them in a dish. Add whipped cream between layers. Repeat and refrigerate for 2-3 hours. Serve chilled.,
"Potato, Carrot, Spices, Oil",Aloo Gajar Sabzi,"Potato, carrot, oil, mustard seeds, cumin, turmeric, red chili powder, salt, coriander","Peel and chop potatoes and carrots. Heat oil in a pan, add mustard seeds and cumin. Add the chopped vegetables, turmeric, red chili powder, and salt. Stir well, cover, and cook on low heat until tender. Garnish with coriander and serve.",
